ASSET ID,FEATURE TYPE,DIVISION NAME,LOCATION NAME,Location 1,LATITUDE,LONGITUDE
TABL859,TABLE,STROMLO (RURAL DIST.),COTTER RESERVE - CASUARINA SANDS,"(-35.319789, 148.9543)",-35.319789,148.9543
TABL665,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.325768, 148.948495)",-35.325768,148.948495
TABL780,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326176, 148.946864)",-35.326176,148.946864
TABL715,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.327441, 148.938846)",-35.327441,148.938846
TABL860,TABLE,STROMLO (RURAL DIST.),COTTER RESERVE - CASUARINA SANDS,"(-35.319796, 148.954384)",-35.319796,148.954384
TABL690,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326669, 148.939224)",-35.326669,148.939224
TABL2122,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.327874, 148.937447)",-35.327874,148.937447
TABL660,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.322709, 148.94219)",-35.322709,148.94219
TABL773,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.322998, 148.941254)",-35.322998,148.941254
TABL858,TABLE,STROMLO (RURAL DIST.),COTTER RESERVE - CASUARINA SANDS,"(-35.319799, 148.954063)",-35.319799,148.954063
TABL666,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.32604, 148.947636)",-35.32604,148.947636
TABL625,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323222, 148.941439)",-35.323222,148.941439
TABL662,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323603, 148.941005)",-35.323603,148.941005
TABL709,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.32324, 148.941866)",-35.32324,148.941866
TABL667,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326098, 148.947361)",-35.326098,148.947361
TABL776,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326887, 148.940052)",-35.326887,148.940052
TABL826,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326269, 148.945862)",-35.326269,148.945862
TABL718,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326264, 148.945896)",-35.326264,148.945896
TABL774,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.32425, 148.941036)",-35.32425,148.941036
TABL819,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323435, 148.941709)",-35.323435,148.941709
TABL772,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323365, 148.941647)",-35.323365,148.941647
TABL777,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326589, 148.940602)",-35.326589,148.940602
TABL775,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326839, 148.940649)",-35.326839,148.940649
TABL717,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323, 148.942106)",-35.323,148.942106
TABL721,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326307, 148.939689)",-35.326307,148.939689
