image,episode,title,url
S13E9.jpg,S13E9,Emerald Waters,/painting/emerald-waters
S13E10.jpg,S13E10,Mountain Summit,/painting/mountain-summit
S13E11.jpg,S13E11,Cabin Hideaway,/painting/cabin-hideaway
S13E12.jpg,S13E12,Oval Essence,/painting/oval-essence
S13E13.jpg,S13E13,Lost Lake,/painting/lost-lake
S14E1.jpg,S14E1,Distant Mountains,/painting/distant-mountains
S14E2.jpg,S14E2,Meadow Brook Surprise,/painting/meadow-brook-surprise
S14E3.jpg,S14E3,Mountain Moonlight Oval,/painting/mountain-moonlight-oval
S14E4.jpg,S14E4,Snowy Solitude,/painting/snowy-solitude
S14E5.jpg,S14E5,Mountain River,/painting/mountain-river
S14E6.jpg,S14E6,Graceful Mountains,/painting/graceful-mountains
S14E7.jpg,S14E7,Windy Waves,/painting/windy-waves
S14E8.jpg,S14E8,On a Clear Day,/painting/on-a-clear-day
S14E9.jpg,S14E9,Riverside Escape Oval,/painting/riverside-escape-oval
S14E10.jpg,S14E10,Surprising Falls,/painting/surprising-falls
S14E11.jpg,S14E11,Shadow Pond,/painting/shadow-pond
S14E12.jpg,S14E12,Misty Forest Oval,/painting/misty-forest-oval
S14E13.jpg,S14E13,Natural Wonder,/painting/natural-wonder
S15E1.jpg,S15E1,Splendor of Winter,/painting/splendor-of-winter
S15E2.jpg,S15E2,Colors of Nature,/painting/colors-of-nature
S15E3.jpg,S15E3,Grandpa's Barn,/painting/grandpas-barn
S15E4.jpg,S15E4,Peaceful Reflections,/painting/peaceful-reflections
S15E5.jpg,S15E5,Hidden Winter Moon Oval,/painting/hidden-winter-moon-oval
S15E6.jpg,S15E6,Waves of Wonder,/painting/waves-of-wonder
S15E7.jpg,S15E7,Cabin by the Pond,/painting/cabin-by-the-pond
S15E8.jpg,S15E8,Fall Stream,/painting/fall-stream
S15E9.jpg,S15E9,Christmas Eve Snow,/painting/christmas-eve-snow
S15E10.jpg,S15E10,Forest Down Oval,/painting/forest-down-oval
S15E11.jpg,S15E11,Pathway to Autumn,/painting/pathway-to-autumn
S15E12.jpg,S15E12,Deep Forest Lake,/painting/deep-forest-lake
S15E13.jpg,S15E13,Peaks of Majesty,/painting/peaks-of-majesty
S16E1.jpg,S16E1,Two Seasons,/painting/two-seasons
S16E2.jpg,S16E2,Nestled Cabin,/painting/nestled-cabin
S16E3.jpg,S16E3,Wintertime Discovery,/painting/wintertime-discovery
S16E4.jpg,S16E4,Mountain Mirage Wood Shape,/painting/mountain-mirage-wood-shape
S16E5.jpg,S16E5,Double Oval Fantasy,/painting/double-oval-fantasy
S16E6.jpg,S16E6,Contemplative Lady,/painting/contemplative-lady
S16E7.jpg,S16E7,Deep Woods,/painting/deep-woods
S16E8.jpg,S16E8,High Tide,/painting/high-tide
S16E9.jpg,S16E9,Barn in Snow Oval,/painting/barn-in-snow-oval
S16E10.jpg,S16E10,That Time of Year,/painting/that-time-of-year
S16E11.jpg,S16E11,Waterfall Wonder,/painting/waterfall-wonder
S16E12.jpg,S16E12,Mighty Mountain Lake,/painting/mighty-mountain-lake
S16E13.jpg,S16E13,Wooded Stream Oval,/painting/wooded-stream-oval
S17E1.jpg,S17E1,Golden Mist Oval,/painting/golden-mist-oval
S17E2.jpg,S17E2,The Old Home Place,/painting/the-old-home-place
S17E3.jpg,S17E3,Soothing Vista,/painting/soothing-vista
S17E4.jpg,S17E4,Stormy Seas,/painting/stormy-seas
S17E5.jpg,S17E5,Country Time,/painting/country-time
S17E6.jpg,S17E6,A Mild Winter's Day,/painting/a-mild-winters-day
S17E7.jpg,S17E7,Spectacular Waterfall,/painting/spectacular-waterfall
S17E8.jpg,S17E8,View from the Park,/painting/view-from-the-park
S17E9.jpg,S17E9,Lake View,/painting/lake-view
S17E10.jpg,S17E10,Old Country Mill,/painting/old-country-mill
S17E11.jpg,S17E11,Morning Walk,/painting/morning-walk
S17E12.jpg,S17E12,Nature's Splendor,/painting/natures-splendor
S17E13.jpg,S17E13,Mountain Beauty,/painting/mountain-beauty
S18E1.jpg,S18E1,Half-Oval Vignette,/painting/half-oval-vignette
S18E2.jpg,S18E2,Absolutely Autumn,/painting/absolutely-autumn
S18E3.jpg,S18E3,Mountain Seclusion,/painting/mountain-seclusion
S18E4.jpg,S18E4,Crimson Oval,/painting/crimson-oval
S18E5.jpg,S18E5,Autumn Exhibition,/painting/autumn-exhibition
S18E6.jpg,S18E6,Majestic Peaks,/painting/majestic-peaks
S18E7.jpg,S18E7,Golden Morning Mist,/painting/golden-morning-mist
S18E8.jpg,S18E8,Winter Lace,/painting/winter-lace
S18E9.jpg,S18E9,Seascape Fantasy,/painting/seascape-fantasy
S18E10.jpg,S18E10,Double Oval Stream,/painting/double-oval-stream
S18E11.jpg,S18E11,Enchanted Forest,/painting/enchanted-forest
S18E12.jpg,S18E12,Southwest Serenity,/painting/southwest-serenity
S18E13.jpg,S18E13,Rippling Waters,/painting/rippling-waters
S19E1.jpg,S19E1,Snowfall Magic,/painting/snowfall-magic
S19E2.jpg,S19E2,Quiet Mountain Lake,/painting/quiet-mountain-lake
S19E3.jpg,S19E3,Final Embers of Sunlight,/painting/final-embers-of-sunlight
S19E4.jpg,S19E4,Snowy Morn,/painting/snowy-morn
S19E5.jpg,S19E5,Camper's Haven,/painting/campers-haven
S19E6.jpg,S19E6,Waterfall in the Woods,/painting/waterfall-in-the-woods
S19E7.jpg,S19E7,Covered Bridge Oval,/painting/covered-bridge-oval
S19E8.jpg,S19E8,Scenic Seclusion,/painting/scenic-seclusion
S19E9.jpg,S19E9,Ebb Tide,/painting/ebb-tide
S19E10.jpg,S19E10,After the Rain,/painting/after-the-rain
S19E11.jpg,S19E11,Winter Elegance,/painting/winter-elegance
S19E12.jpg,S19E12,Evening's Peace,/painting/evenings-peace
S19E13.jpg,S19E13,Valley of Tranquility,/painting/valley-of-tranquility
S20E1.jpg,S20E1,Mystic Mountain,/painting/mystic-mountain
S20E2.jpg,S20E2,New Day's Dawn,/painting/new-days-dawn
S20E3.jpg,S20E3,Winter in Pastel,/painting/winter-in-pastel
S20E4.jpg,S20E4,Hazy Day,/painting/hazy-day
S20E5.jpg,S20E5,Divine Elegance,/painting/divine-elegance
S20E6.jpg,S20E6,Cliffside,/painting/cliffside
S20E7.jpg,S20E7,Autumn Fantasy,/painting/autumn-fantasy
S20E8.jpg,S20E8,The Old Oak Tree,/painting/the-old-oak-tree
S20E9.jpg,S20E9,Winter Paradise,/painting/winter-paradise
S20E10.jpg,S20E10,Days Gone By,/painting/days-gone-by
S20E11.jpg,S20E11,Change of Seasons,/painting/change-of-seasons
S20E12.jpg,S20E12,Hidden Delight,/painting/hidden-delight
S20E13.jpg,S20E13,Double Take,/painting/double-take
S21E1.jpg,S21E1,Valley View,/painting/valley-view
S21E2.jpg,S21E2,Tranquil Dawn,/painting/tranquil-dawn
S21E3.jpg,S21E3,Royal Majesty,/painting/royal-majesty
S21E4.jpg,S21E4,Serenity,/painting/serenity
S21E5.jpg,S21E5,Cabin at Trails End,/painting/cabin-at-trails-end
S21E6.jpg,S21E6,Mountain Rhapsody,/painting/mountain-rhapsody
S21E7.jpg,S21E7,Wilderness Cabin,/painting/wilderness-cabin
S21E8.jpg,S21E8,By the Sea,/painting/by-the-sea
S21E9.jpg,S21E9,Indian Summer,/painting/indian-summer
S21E10.jpg,S21E10,Blue Winter,/painting/blue-winter
S21E11.jpg,S21E11,Desert Glow,/painting/desert-glow
S21E12.jpg,S21E12,Lone Mountain,/painting/lone-mountain
S21E13.jpg,S21E13,Florida's Glory,/painting/floridas-glory
S22E1.jpg,S22E1,Autumn Images,/painting/autumn-images
S22E2.jpg,S22E2,Hint of Springtime,/painting/hint-of-springtime
S22E3.jpg,S22E3,Around the Bend,/painting/around-the-bend
S22E4.jpg,S22E4,Countryside Oval,/painting/countryside-oval
S22E5.jpg,S22E5,Russet Winter,/painting/russet-winter
S22E6.jpg,S22E6,Purple Haze,/painting/purple-haze
S22E7.jpg,S22E7,Dimensions,/painting/dimensions
S22E8.jpg,S22E8,Deep Wilderness Home,/painting/deep-wilderness-home
S22E9.jpg,S22E9,Haven in the Valley,/painting/haven-in-the-valley
S22E10.jpg,S22E10,Wintertime Blues,/painting/wintertime-blues
S22E11.jpg,S22E11,Pastel Seascape,/painting/pastel-seascape
S22E12.jpg,S22E12,Country Creek,/painting/country-creek
S22E13.jpg,S22E13,Silent Forest,/painting/silent-forest
S23E1.jpg,S23E1,Frosty Winter Morn,/painting/frosty-winter-morn
S23E2.jpg,S23E2,Forest Edge,/painting/forest-edge
S23E3.jpg,S23E3,Mountain Ridge Lake,/painting/mountain-ridge-lake
S23E4.jpg,S23E4,Reflections of Gold,/painting/reflections-of-gold
S23E5.jpg,S23E5,Quiet Cove,/painting/quiet-cove
S23E6.jpg,S23E6,Rivers Peace,/painting/rivers-peace
S23E7.jpg,S23E7,At Dawn's Light,/painting/at-dawns-light
S23E8.jpg,S23E8,Valley Waterfall,/painting/valley-waterfall
S23E9.jpg,S23E9,Toward Days End,/painting/toward-days-end
S23E10.jpg,S23E10,Falls in the Glen,/painting/falls-in-the-glen
S23E11.jpg,S23E11,Frozen Beauty in Vignette,/painting/frozen-beauty-in-vignette
S23E12.jpg,S23E12,Crimson Tide,/painting/crimson-tide
S23E13.jpg,S23E13,Winter Bliss,/painting/winter-bliss
S24E1.jpg,S24E1,Gray Mountain,/painting/gray-mountain
S24E2.jpg,S24E2,Wayside Pond,/painting/wayside-pond
S24E3.jpg,S24E3,Teton Winter,/painting/teton-winter
S24E4.jpg,S24E4,Little Home in the Meadow,/painting/little-home-in-the-meadow
S24E5.jpg,S24E5,A Pretty Autumn Day,/painting/a-pretty-autumn-day
S24E6.jpg,S24E6,Mirrored Images,/painting/mirrored-images
S24E7.jpg,S24E7,Back-Country Path,/painting/back-country-path
S24E8.jpg,S24E8,Graceful Waterfall,/painting/graceful-waterfall
S24E9.jpg,S24E9,Icy Lake,/painting/icy-lake
S24E10.jpg,S24E10,Rowboat on the Beach,/painting/rowboat-on-the-beach
S24E11.jpg,S24E11,Portrait of Winter,/painting/portrait-of-winter
S24E12.jpg,S24E12,The Footbridge,/painting/the-footbridge
S24E13.jpg,S24E13,Snowbound Cabin,/painting/snowbound-cabin
S25E1.jpg,S25E1,Hide A Way Cove,/painting/hide-a-way-cove
S25E2.jpg,S25E2,Enchanted Falls Oval,/painting/enchanted-falls-oval
S25E3.jpg,S25E3,Not Quite Spring,/painting/not-quite-spring
S25E4.jpg,S25E4,Splashes of Autumn,/painting/splashes-of-autumn
S25E5.jpg,S25E5,Summer in the Mountain,/painting/summer-in-the-mountain
S25E6.jpg,S25E6,Oriental Falls,/painting/oriental-falls
S25E7.jpg,S25E7,Autumn Palette,/painting/autumn-palette
S25E8.jpg,S25E8,Cypress Swamp,/painting/cypress-swamp
S25E9.jpg,S25E9,Downstream View,/painting/downstream-view
S25E10.jpg,S25E10,Just Before the Storm,/painting/just-before-the-storm
S25E11.jpg,S25E11,Fisherman's Paradise,/painting/fishermans-paradise
